destination_id,year,rows
70,1992,0
70,1993,0
70,1994,0
70,1995,0
70,1996,0
70,1997,0
70,1998,2683
70,1999,2949
70,2000,12553
70,2001,11962
70,2002,10893
70,2003,6961
70,2004,10091
70,2005,11867
70,2006,11593
70,2007,11936
70,2008,11819
70,2009,11249
70,2010,11082
70,2011,11480
70,2012,12221
70,2013,11862
70,2014,11679
70,2015,11914
70,2016,12610
70,2017,12454
70,2018,12611
70,2019,12618
70,2020,9503
70,2021,11409
70,2022,11182
70,2023,11158
70,2024,10933
70,2025,11007
70,2026,6417
71,1990,0
71,1991,0
71,1992,0
71,1993,0
71,1994,0
71,1995,0
71,1996,0
71,1997,0
71,1998,0
71,1999,0
71,2000,0
71,2001,0
71,2002,0
71,2003,0
71,2004,0
71,2005,0
71,2006,0
71,2007,0
71,2008,0
71,2009,0
71,2010,0
71,2011,0
71,2012,0
71,2013,0
71,2014,0
71,2015,0
71,2016,0
71,2017,0
71,2018,0
71,2019,0
71,2020,0
71,2021,0
71,2022,0
71,2023,0
71,2024,0
71,2025,0
71,2026,0
80,1990,0
80,1991,0
80,1992,0
80,1993,0
80,1994,0
80,1995,0
80,1996,0
80,1997,0
80,1998,2221
80,1999,2291
80,2000,4044
80,2001,4022
80,2002,4161
80,2003,4034
80,2004,4115
80,2005,4704
80,2006,4557
80,2007,4527
80,2008,4833
80,2009,4579
80,2010,4526
80,2011,4668
80,2012,4824
80,2013,5197
80,2014,5141
80,2015,5123
80,2016,4983
80,2017,5022
80,2018,4863
80,2019,4986
80,2020,2961
80,2021,4705
80,2022,4839
80,2023,4794
80,2024,4841
80,2025,4885
80,2026,2867
100,1990,0
100,1991,0
100,1992,0
100,1993,0
100,1994,0
100,1995,0
100,1996,0
100,1997,0
100,1998,3630
100,1999,3548
100,2000,16563
100,2001,16300
100,2002,15832
100,2003,16170
100,2004,16784
100,2005,16564
100,2006,16643
100,2007,17839
100,2008,17607
100,2009,17005
100,2010,15835
100,2011,16829
100,2012,17730
100,2013,18104
100,2014,17914
100,2015,17911
100,2016,18337
100,2017,18460
100,2018,18666
100,2019,18615
100,2020,15347
100,2021,16868
100,2022,19727
100,2023,19232
100,2024,18964
100,2025,18535
100,2026,10950
101,1990,0
101,1991,0
101,1992,0
101,1993,0
101,1994,0
101,1995,0
101,1996,0
101,1997,0
101,1998,3134
101,1999,3241
101,2000,14273
101,2001,15205
101,2002,14894
101,2003,14317
101,2004,15174
101,2005,14970
101,2006,15123
101,2007,14513
101,2008,13277
101,2009,12510
101,2010,12068
101,2011,12559
101,2012,12616
101,2013,13473
101,2014,13164
101,2015,14808
101,2016,14524
101,2017,14586
101,2018,13568
101,2019,14624
101,2020,10740
101,2021,14458
101,2022,14307
101,2023,13729
101,2024,13623
101,2025,13737
101,2026,8322
102,1990,0
102,1991,0
102,1992,0
102,1993,0
102,1994,0
102,1995,0
102,1996,0
102,1997,0
102,1998,0
102,1999,0
102,2000,6763
102,2001,16439
102,2002,18300
102,2003,20269
102,2004,21987
